id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
111310606,2022-04-13 16:47:32,2022-04-13,2022-04-13 14:47:32 UTC,Zurich,5508885,gloria_l,2022-04-13 14:59:53 UTC,2022-04-13 15:00:15 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111310606,https://static.inaturalist.org/photos/187893832/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7930009722,7.156752,,,,,,,,false,gps,gps,Salvia moscatella,Salvia sclarea,Muskatellersalbei,Plantae,168396
111311388,2022-04-13 16:46:55,2022-04-13,2022-04-13 14:46:55 UTC,Zurich,5508885,gloria_l,2022-04-13 15:07:56 UTC,2022-04-13 15:08:18 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111311388,https://static.inaturalist.org/photos/187895120/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.79298,7.156785,,,,,,,open,false,gps,gps,Salvia,Salvia officinalis,Sauge officinale,Plantae,51738
111311673,,,,Paris,5508885,gloria_l,2022-04-13 15:11:23 UTC,2022-04-13 15:11:41 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111311673,https://static.inaturalist.org/photos/187895676/medium.jpeg,,"",,0,0,true,2,,,,,,,,,,open,false,,,Salvia candelabrum,Salvia candelabrum,,Plantae,513840
111311826,2022-04-13 16:46:24,2022-04-13,2022-04-13 14:46:24 UTC,Zurich,5508885,gloria_l,2022-04-13 15:12:57 UTC,2022-05-15 14:35:13 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111311826,https://static.inaturalist.org/photos/187895931/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7929779722,7.1567579722,,,,,,,,false,gps,gps,Silver Sage,Salvia argentea,,Plantae,168374
111311938,2022-04-13 16:45:22,2022-04-13,2022-04-13 14:45:22 UTC,Zurich,5508885,gloria_l,2022-04-13 15:14:21 UTC,2022-04-13 15:14:42 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111311938,https://static.inaturalist.org/photos/187896157/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7930119722,7.1567639722,,,,,,,open,false,gps,gps,Salvia,Salvia officinalis,Sauge officinale,Plantae,51738
111312071,2022-04-13 16:44:02,2022-04-13,2022-04-13 14:44:02 UTC,Zurich,5508885,gloria_l,2022-04-13 15:15:06 UTC,2022-04-13 15:15:28 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312071,https://static.inaturalist.org/photos/187896259/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7929419722,7.1567759722,,,,,,,,false,gps,gps,Creeping Sage,Salvia scabra,,Plantae,593708
111312224,2022-04-13 16:43:03,2022-04-13,2022-04-13 14:43:03 UTC,Zurich,5508885,gloria_l,2022-04-13 15:17:00 UTC,2022-04-13 15:19:48 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312224,https://static.inaturalist.org/photos/187896513/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7929379722,7.1567679722,,,,,,,,false,gps,gps,Salvia candidissima,Salvia candidissima,,Plantae,513850
111312539,2022-04-13 16:41:27,2022-04-13,2022-04-13 14:41:27 UTC,Zurich,5508885,gloria_l,2022-04-13 15:19:51 UTC,2022-04-13 15:20:14 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312539,https://static.inaturalist.org/photos/187896994/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.792962,7.156723,,,,,,,,false,gps,gps,Salvia palaestina,Salvia palaestina,,Plantae,559392
111312601,2022-04-13 16:40:38,2022-04-13,2022-04-13 14:40:38 UTC,Zurich,5508885,gloria_l,2022-04-13 15:20:31 UTC,2022-04-13 15:20:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312601,https://inaturalist-open-data.s3.amazonaws.com/photos/187897093/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.792963,7.1567259722,,,,,,,,false,gps,gps,Salvia interrupta,Salvia interrupta,,Plantae,1186783
111312692,2022-04-13 16:38:29,2022-04-13,2022-04-13 14:38:29 UTC,Zurich,5508885,gloria_l,2022-04-13 15:21:34 UTC,2022-04-13 15:21:58 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312692,https://inaturalist-open-data.s3.amazonaws.com/photos/187897243/medium.jpeg,,"",,0,0,true,2,"Friburgo, Svizzera",46.7929559722,7.156773,,,,,,,,false,gps,gps,Salvia przewalskii,Salvia przewalskii,,Plantae,821033
