row ID,row m/z,row retention time,20220504_groupC_DBGI_07_01.mzML Peak area,20220504_groupC_DBGI_07_02.mzML Peak area,20220504_groupC_DBGI_07_03.mzML Peak area,20220504_groupC_DBGI_07_04.mzML Peak area,20220504_groupC_DBGI_07_05.mzML Peak area,20220504_groupC_DBGI_07_06.mzML Peak area,20220504_groupC_DBGI_07_07.mzML Peak area,20220504_groupC_DBGI_07_08.mzML Peak area,20220504_groupC_DBGI_07_09.mzML Peak area,20220504_groupC_DBGI_07_10.mzML Peak area,20220504_groupC_DBGI_07_11.mzML Peak area,20220504_groupC_DBGI_07_12.mzML Peak area,20220504_groupC_DBGI_07_13.mzML Peak area,20220504_groupC_DBGI_07_14.mzML Peak area,20220504_groupC_DBGI_07_nd_20220504181114.mzML Peak area,
1,163.0389518737793,2.15655105,4.8104331013483477E8,4.2072540835401976E8,2.2169243568740222E8,4.1844874569011194E8,4.799937612620597E8,3.360280899116973E8,5.739053891819036E8,3.948121027627851E8,4.719787272727407E8,1.9195819345547754E8,5.0699081413419235E8,4.1143928197452015E8,4.280165940812765E8,3.146677698626389E8,0,
2,301.2160278320313,4.94465636,3.8199334076571983E8,0,0,0,1515952.3301404254,0,0,0,7.098485836869309E8,0,8.362428041275668E8,0,4.5744442307436544E8,0,0,
3,361.09192449396306,1.5811607727272727,1.767242775496491E8,1.1750847865926607E8,4943543.026204514,0,1.4460775451082832E8,9295784.73497773,0,5.30796570756203E7,1.8182240142488277E8,5.0366675828782246E7,2.42607983663509E8,0,9.085347678015554E7,2.0903256355939335E8,0,
4,345.20569864908856,4.3797285666666665,1.702860382692871E8,0,0,0,0,0,0,0,9.514883873099154E7,0,4.0461312351350284E8,0,0,0,0,
5,181.04949569702148,2.15655105,1.6439757625720167E8,1.4031654894841713E8,7.55203974004015E7,1.3959655216527915E8,1.7013718500706622E8,1.0934124411852513E8,1.9343203098057315E8,1.2746245608603504E8,1.5702769906968448E8,6.29976877544395E7,1.7722672810532612E8,1.3613879641830805E8,1.4095933534631032E8,1.0595238995831023E8,0,
6,104.10738100324359,0.41515283,7.815673272601795E8,1.1103045763387089E9,8.748854636119565E8,6.568851641865561E8,3.788320468422001E8,6.096391246700835E8,5.0804284512095433E8,7.481330843778495E8,4.1586581446432716E8,6.072693260480657E8,6.224178012625718E8,5.488748016313276E8,3.4332057180368835E8,2.731877329408428E8,0,
7,345.2055257161458,4.745606899999999,1.0525614360076457E8,0,0,0,0,0,0,0,3.2953818967646398E7,0,1.6283257858304495E8,0,0,0,0,
8,273.25774574279785,5.8742259125,1.1822211655756676E8,1841665.0784111281,1.5474240829416346E7,0,8421344.714637918,2.4970221356881586E8,0,0,1.9181831118412137E8,0,1.0076668461371449E8,0,8169106.84519763,0,0,
9,447.0923420299183,2.108197254545454,1.4078420433867896E8,2.5599027685390975E7,1.8804344295805853E7,0,7.775804455868423E7,1.277684117331821E7,1.5917838513051508E7,2.0013334465064224E7,2963641.6152946777,0,1.835497958522444E7,0,3.039988829909925E7,1.1557516258782083E7,0,
11,519.1135186089409,2.3064162333333336,5.7134741241138995E7,7135676.660296847,6.091998828618227E7,0,6.606187607889282E7,5.379190795510523E7,0,0,1.850427042878602E7,0,1.351883695874259E7,0,1.3002617271091359E7,1.6246441717657946E7,0,
